133N
KARTAL
KARTAL MEYDAN
EGEMENLİK BULVARI
ÜSKÜDAR CADDESİ
ŞEHİT KEMAL TOSUN
TEKNİK LİSESİ
BEYAZ KÖŞK
ATALAR MARMARAY
İSTASYON
ATALAR MAHALLESİ
ORHANTEPE MAHALLESİ
YÜCEL SİTESİ
İSTANBUL BÖLGE ADLİYE MAHKEMESİ
CEVİZLİ
TUGAY YOLU
MALTEPE KIZ ANADOLU İMAM HATİP LİSESİ
ORHANGAZİ ANADOLU LİSESİ
MİMAR SİNAN CAMİİ
ORHANGAZİ CADDESİ
ESENYOL
HUZUREVİ
MALTEPE METRO İSTASYONU
ATATÜRK CADDESİ
ÇAMLIK
ONBEŞ EVLER MERKEZ CAMİİ
ŞEHİT ER ÇAĞLAR MENGÜ İMAM HATİP LİSESİ
ZÜMRÜTEVLER İLKOKULU
KARACA CADDESİ
ADATEPE SİTESİ
BARBAROS HAYRETTİNPAŞA ORTAOKULU
YEŞİLTEPE SİTESİ
HACI MUSTAFA ÖZYAĞCI CAMİİ
MEVLANA HALİD CADDESİ
MİMAR SİNAN ÖĞRENCİ YURDU
SEYRANTEPE A1 KAPISI
NARCITY İŞ MERKEZİ 
ÜNİVERSİTE KAVŞAĞI
ÜNİVERSİTE ANA GİRİŞİ
MARMARA EĞİTİM KÖYÜ ANA GİRİŞİ
MESLEK YÜKSEKOKULU
AİLE SAĞLIĞI MERKEZİ 
MARMARA EĞİTİM KÖYÜ ANA GİRİŞİ
MESLEK EĞİTİM KÖYÜ
MESLEK YÜKSEK OKULU
