133N
MESLEK YÜKSEK OKULU
MESLEK EĞİTİM KÖYÜ
AİLE SAĞLIĞI MERKEZİ 
MESLEK YÜKSEK OKULU
MARMARA EĞİTİM KÖYÜ ANA GİRİŞİ
ÜNİVERSİTE KAVŞAĞI
NARCITY İŞ MERKEZİ 
NARCITY E KAPISI
SEYRANTEPE A1 KAPISI
SEYRANTEPE
MİMAR SİNAN ÖĞRENCİ YURDU
MEVLANA HALİD CADDESİæ
HACI MUSTAFA ÖZYAĞCI CAMİİ
YEŞİLTEPE SİTESİ
BARBAROS HAYRETTİNPAŞA ORTAOKULU
ADATEPE SİTESİ
KARACA CADDESİ
ZÜMRÜTEVLER İLKOKULU
ŞEHİT ER ÇAĞLAR MENGÜ İMAM HATİP LİSESİ
ONBEŞ EVLER MERKEZ CAMİİ
ÇAMLIK
ATATÜRK CADDESİ
MALTEPE METRO İSTASYONU
MALTEPE KÖPRÜSÜ
HUZUREVİ
ORHANGAZİ CADDESİ
MİMAR SİNAN CAMİİ
ORHANGAZİ ANADOLU LİSESİ
ORHANGAZİ
MALTEPE KIZ ANADOLU İMAM HATİP LİSESİ
TUGAY YOLU
CEVİZLİ
İSTANBUL BÖLGE ADLİYE MAHKEMESİ
YÜCEL SİTESİ
ORHANTEPE MAHALLESİ
ATALAR MAHALLESİ
İSTASYON
ATALAR MARMARAY
BEYAZ KÖŞK
TEKNİK LİSESİ
ŞEHİT KEMAL TOSUN
ÜSKÜDAR CADDESİ
EGEMENLİK BULVARI
KARTAL MEYDAN
