Haftaici;C.tesi;Pazar
06:30;08:25;
07:00;08:35;
07:30;10:20;
08:00;16:55;
08:35;;
08:55;;
09:30;;
10:05;;
11:10;;
13:45;;
15:45;;
16:15;;
16:40;;
16:55;;
18:10;;
00:00;;
